,Recency,Frequency,Time,Donate_Blood
640,11,8,52,1
709,21,6,48,0
741,23,7,88,0
547,2,3,11,0
230,4,1,4,0
478,23,1,23,0
259,12,12,58,0
419,16,2,26,0
103,2,5,26,0
358,9,2,26,0
35,2,8,28,1
518,3,10,33,1
719,23,8,69,0
596,3,1,3,1
155,2,1,2,0
535,4,5,16,1
423,21,2,23,0
223,4,1,4,0
396,21,2,21,1
444,23,12,86,0
119,2,11,79,1
322,11,4,34,0
235,8,10,63,0
189,4,5,35,1
681,4,2,46,0
90,4,2,4,1
387,14,1,14,0
637,14,7,35,0
740,23,1,23,0
405,14,3,41,0
345,11,1,11,0
728,21,1,21,0
504,0,26,76,1
241,11,22,98,0
534,2,6,26,0
130,4,5,28,0
173,2,1,2,0
520,2,11,40,1
162,2,1,2,0
456,21,1,21,0
159,2,1,2,0
305,11,5,37,1
295,2,4,70,0
669,2,3,75,1
503,2,44,98,0
6,2,7,14,1
265,4,4,43,1
152,4,11,78,0
221,4,1,4,1
392,4,2,59,0
253,11,3,16,1
425,16,5,60,0
33,4,9,26,1
674,16,10,62,0
88,4,2,4,0
204,11,9,38,0
587,2,1,2,0
12,2,10,28,1
639,7,9,89,1
48,2,2,2,0
355,4,2,41,0
366,23,15,57,0
558,14,5,14,0
269,13,4,21,0
94,12,11,23,0
572,2,2,11,1
443,11,3,76,0
180,4,4,26,1
74,2,2,4,1
243,11,17,79,1
81,2,4,16,0
680,20,14,69,1
586,2,1,2,1
54,4,5,14,1
501,6,22,28,1
151,4,6,39,0
574,2,2,11,1
164,2,1,2,1
389,14,7,73,0
290,14,4,23,1
28,4,5,11,1
343,11,1,11,0
206,2,2,16,0
64,2,3,9,1
27,4,12,34,1
363,21,13,57,0
453,21,1,21,0
335,16,3,21,1
140,2,9,74,0
225,4,1,4,1
37,4,6,16,1
275,4,4,46,0
482,23,1,23,0
93,4,2,4,0
483,23,1,23,0
487,23,3,48,0
686,13,7,76,0
727,21,1,21,0
32,4,10,28,1
17,2,15,49,1
544,1,14,95,0
542,4,16,70,1
725,21,1,21,0
247,7,12,86,0
246,11,12,58,0
194,2,2,14,0
699,21,2,21,0
489,21,3,64,0
149,2,2,11,0
370,4,2,51,1
157,2,1,2,0
318,11,9,72,1
376,14,5,50,0
256,16,8,28,0
197,4,6,47,0
177,4,5,33,1
26,4,6,14,0
524,4,9,28,0
308,16,4,23,0
44,4,20,69,1
461,21,1,21,0
193,11,11,42,0
55,4,19,69,1
649,14,8,46,0
449,16,3,50,0
475,26,5,49,1
16,2,14,48,1
195,2,5,47,1
704,16,1,16,0
539,2,2,4,1
62,2,10,49,0
500,2,43,86,1
618,4,1,4,1
480,23,1,23,0
124,2,4,26,0
185,11,9,33,0
372,4,2,52,0
536,2,7,32,1
75,2,2,4,1
553,2,3,14,0
568,4,6,35,1
143,4,3,16,0
139,2,2,11,0
8,2,9,22,1
519,4,10,28,1
136,2,5,37,0
465,21,5,60,0
383,14,1,14,0
714,16,4,58,0
69,1,9,51,0
522,4,13,39,1
633,12,15,71,0
47,2,2,2,0
540,2,6,28,1
115,11,24,64,0
132,2,2,10,0
508,2,21,52,1
281,14,4,22,1
726,25,6,50,0
113,4,8,40,1
144,4,2,9,1
712,14,2,35,1
384,14,1,14,0
165,2,1,2,1
510,4,4,4,1
49,2,2,2,0
261,11,14,73,1
142,4,3,16,0
667,11,1,11,1
448,23,8,64,0
123,2,5,33,1
289,14,3,19,1
331,16,6,35,0
298,14,2,14,0
404,14,5,64,0
687,16,6,50,0
166,2,1,2,0
430,9,2,52,0
20,2,3,4,1
274,4,5,58,0
339,9,3,34,0
323,14,8,50,1
688,14,3,33,0
333,11,7,62,1
365,14,2,21,1
416,16,1,16,0
377,14,1,14,0
549,4,7,32,1
196,9,8,38,1
46,2,9,36,0
263,2,3,38,1
138,9,5,19,0
386,14,1,14,0
560,4,11,64,1
552,4,6,28,1
670,2,3,77,0
390,11,4,58,0
150,2,7,58,1
65,3,16,74,0
29,4,8,21,0
446,23,2,26,0
567,4,9,55,0
98,4,4,14,1
267,11,8,46,0
737,23,1,23,0
506,3,21,42,1
706,14,2,29,0
357,14,3,26,0
664,11,1,11,0
661,16,2,16,0
283,8,2,16,0
468,22,1,22,1
51,2,11,46,1
747,72,1,72,0
479,23,1,23,0
608,4,1,4,0
226,4,1,4,0
628,2,5,63,0
145,4,3,16,1
566,4,6,35,0
278,14,18,78,0
21,4,11,28,0
1,0,13,28,1
133,4,6,35,0
543,4,2,4,1
665,11,1,11,0
570,2,6,47,0
175,11,10,35,0
548,2,12,70,1
516,3,5,12,1
657,14,8,50,0
679,14,3,28,0
352,11,5,50,0
437,14,3,52,0
101,2,13,76,1
656,4,2,31,0
211,4,1,4,0
451,21,3,38,0
224,4,1,4,1
602,9,3,14,0
632,6,3,26,0
604,4,2,13,0
110,4,5,23,1
744,21,2,52,0
403,16,3,34,0
356,16,6,40,0
128,4,8,48,1
215,4,1,4,1
121,4,5,26,1
303,2,3,52,0
432,16,7,87,1
319,11,5,41,0
630,8,9,64,0
291,16,12,50,0
57,2,7,28,1
229,4,1,4,0
651,16,5,27,0
191,4,7,52,0
380,14,1,14,0
13,1,13,47,0
89,2,7,35,1
2,1,16,35,1
61,2,8,35,1
499,74,1,74,0
202,6,2,11,1
293,11,5,35,0
617,4,1,4,0
198,11,7,29,0
325,14,2,16,0
321,9,5,51,1
397,21,3,26,0
77,2,2,4,0
328,14,4,28,1
545,4,2,4,1
502,2,34,77,1
126,4,8,46,1
292,11,4,28,0
72,4,17,71,1
418,16,1,16,0
100,4,8,34,1
153,2,1,2,1
582,2,1,2,0
555,4,4,18,0
433,14,4,64,0
38,2,14,57,1
23,2,6,16,1
576,3,4,29,1
163,2,1,2,1
401,23,5,33,0
455,21,1,21,0
474,21,2,35,0
550,4,4,16,0
102,4,9,40,0
678,11,7,75,0
685,21,7,38,0
276,14,13,57,0
613,4,1,4,0
56,4,8,26,1
60,2,7,29,0
240,8,8,52,1
36,2,12,47,1
590,2,1,2,0
470,23,5,58,0
287,9,2,16,1
270,16,11,40,0
116,2,7,46,1
18,2,6,15,1
426,23,2,23,0
708,11,2,38,1
254,12,13,59,0
531,2,4,14,1
692,14,1,14,0
415,16,1,16,0
368,11,2,26,0
413,16,4,45,0
24,9,9,16,0
601,4,6,46,0
707,11,4,74,0
108,2,3,14,0
346,11,1,11,0
720,21,3,38,0
374,14,4,40,0
222,4,1,4,1
509,2,13,32,1
111,4,9,46,0
186,4,5,34,0
70,2,4,16,0
161,2,1,2,0
120,2,3,16,1
521,2,11,41,1
614,4,1,4,0
472,23,3,41,0
593,9,11,49,1
735,23,1,23,0
606,2,7,77,0
96,3,17,86,0
288,14,5,28,1
718,21,3,35,0
607,2,7,77,0
517,4,33,98,1
450,23,3,33,0
673,16,14,83,0
369,16,5,40,1
557,4,6,30,0
697,14,3,35,0
309,16,3,19,0
603,14,8,26,0
71,2,4,16,0
7,1,12,35,0
736,23,1,23,0
696,14,3,35,0
721,23,3,35,0
40,2,13,53,1
717,21,3,35,0
514,4,16,38,1
734,23,1,23,0
178,4,6,41,1
412,16,1,16,0
329,16,7,39,0
724,21,1,21,0
643,10,5,38,0
338,11,1,11,1
158,2,1,2,0
743,23,2,38,0
58,2,16,81,0
660,15,5,33,0
562,4,16,98,1
147,2,2,11,0
39,4,7,22,1
537,2,6,26,1
302,14,2,14,0
0,2,50,98,1
703,16,1,16,0
184,13,8,26,0
179,2,3,22,0
530,4,5,16,1
332,16,6,35,1
190,4,7,52,0
238,2,4,43,0
462,21,1,21,1
375,11,3,40,1
63,4,5,16,1
353,11,2,21,0
598,2,3,24,0
424,14,4,57,0
731,14,3,79,0
526,2,5,16,1
675,16,3,23,0
624,13,3,14,1
529,2,6,22,1
3,2,20,45,1
99,5,7,26,1
619,4,1,4,0
722,21,3,40,0
311,11,2,16,0
294,11,5,35,0
702,16,1,16,0
565,2,9,75,0
15,2,5,11,1
440,16,3,46,0
635,11,16,89,0
234,14,7,26,0
252,11,8,41,1
134,2,11,88,0
505,2,41,98,1
581,2,1,2,1
400,18,2,23,0
212,4,1,4,0
334,16,2,16,0
342,11,6,58,0
336,11,3,28,0
148,2,2,11,1
507,2,11,23,0
66,2,4,14,1
551,2,6,35,1
244,9,2,11,0
84,2,6,28,1
82,2,4,16,0
59,3,6,21,0
393,11,4,61,0
22,2,6,16,1
676,14,3,26,0
242,4,3,25,1
131,2,12,95,0
591,11,11,38,0
42,2,5,16,1
644,14,2,14,1
310,11,5,38,0
9,5,46,98,1
612,4,1,4,1
31,4,10,28,1
410,16,1,16,0
436,21,2,25,0
129,2,2,10,1
623,11,6,28,0
585,2,1,2,0
266,3,2,23,0
695,17,7,58,1
648,11,3,23,0
271,16,7,28,0
85,2,6,28,0
258,4,3,28,0
80,4,6,23,1
713,16,6,81,0
464,21,1,21,0
594,5,11,75,0
19,2,3,4,1
541,2,10,52,0
447,23,2,26,0
538,2,8,38,1
109,2,10,64,0
231,4,1,4,1
663,11,8,72,0
399,21,3,26,1
76,2,4,16,1
10,4,23,58,0
14,2,6,15,1
279,11,8,48,0
4,1,24,77,0
107,3,5,26,0
122,2,6,41,1
239,8,9,58,0
176,11,4,16,1
641,7,5,52,0
575,4,6,38,1
45,4,9,28,1
268,4,7,82,0
622,4,4,34,1
218,4,1,4,0
732,23,1,23,1
137,2,12,98,0
50,2,11,46,0
30,1,14,58,0
492,23,4,87,0
486,21,6,86,0
97,4,9,38,1
523,1,10,43,1
141,5,14,86,0
